year;region;value
1990;World; 0.3098 
1991;World; 0.3329 
1992;World; 0.3559 
1993;World; 0.3790 
1994;World; 0.4021 
1995;World; 0.4252 
1996;World; 0.4607 
1997;World; 0.4962 
1998;World; 0.5317 
1999;World; 0.5673 
2000;World; 0.6028 
2001;World; 0.6355 
2002;World; 0.6682 
2003;World; 0.7010 
2004;World; 0.7337 
2005;World; 0.7664 
2006;World; 0.8131 
2007;World; 0.8598 
2008;World; 0.9066 
2009;World; 0.9533 
2010;World; 1.0000 
2011;World; 1.1166 
2012;World; 1.2331 
2013;World; 1.3497 
2014;World; 1.4663 
2015;World; 1.5828 
2016;World; 1.6994 
2017;World; 1.8160 
2018;World; 1.9325 
2019;World; 2.0491 
2020;World; 2.1657 
2021;World; 2.0213 
2022;World; 1.8769 
2023;World; 1.7325 
2024;World; 1.5881 
2025;World; 1.4438 
2026;World; 1.2994 
2027;World; 1.1550 
2028;World; 1.0106 
2029;World; 0.8663 
2030;World; 0.7219 
